iter	Passed	Remaining
0	66	6561
1	129	6354
2	190	6152
3	251	6042
4	311	5909
5	370	5802
6	434	5769
7	495	5702
8	552	5582
9	609	5481
10	666	5396
11	727	5332
12	782	5234
13	847	5203
14	909	5151
15	971	5101
16	1037	5065
17	1093	4980
18	1150	4904
19	1201	4806
20	1258	4735
21	1314	4659
22	1370	4587
23	1425	4512
24	1475	4427
25	1533	4365
26	1597	4319
27	1660	4270
28	1735	4249
29	1793	4184
30	1852	4123
31	1913	4066
32	1966	3991
33	2027	3936
34	2080	3863
35	2139	3803
36	2194	3737
37	2254	3677
38	2305	3605
39	2359	3539
40	2417	3478
41	2482	3427
42	2538	3365
43	2593	3301
44	2642	3229
45	2706	3177
46	2764	3117
47	2828	3064
48	2884	3001
49	2948	2948
50	3001	2884
51	3058	2823
52	3114	2762
53	3172	2702
54	3238	2649
55	3292	2587
56	3350	2527
57	3408	2468
58	3459	2403
59	3513	2342
60	3572	2283
61	3636	2228
62	3690	2167
63	3751	2109
64	3806	2049
65	3858	1987
66	3910	1926
67	3967	1867
68	4026	1808
69	4080	1748
70	4140	1691
71	4197	1632
72	4252	1572
73	4308	1513
74	4361	1453
75	4413	1393
76	4478	1337
77	4538	1280
78	4598	1222
79	4653	1163
80	4721	1107
81	4777	1048
82	4841	991
83	4904	934
84	4968	876
85	5033	819
86	5095	761
87	5181	706
88	5271	651
89	5339	593
90	5405	534
91	5479	476
92	5547	417
93	5606	357
94	5667	298
95	5735	238
96	5812	179
97	5876	119
98	5936	59
99	5994	0
